!lon lat
-102.171 2.988
-101.898 2.999
-101.499 2.606
-101.203 2.24
-101.196 2.199
-101.194 2.199
-101.194 2.199
-101.196 2.197
-101.149 1.98
-101.049 1.906
-100.974 1.832
-100.908 1.744
-100.973 1.679
-100.964 1.655
-101.074 1.514
-101.047 1.471
-101.153 1.386
-101.195 1.423
-101.315 1.35
-101.348 1.399
-101.423 1.338
-101.487 1.389
-101.58 1.318
-101.644 1.404
-101.825 1.334
-101.959 1.269
-102.082 1.206
-102.183 1.138
-102.183 1.138
-102.183 1.138
-102.223 1.214
-102.203 1.221
-102.243 1.349
-102.222 1.361
-102.257 1.528
-102.23 1.541
-102.262 1.752
-102.133 1.778
-102.104 1.904
-102.088 1.904
-102.076 1.972
-102.075 2.025
-102.067 2.137
-102.075 2.161
-102.08 2.308
-102.088 2.327
-102.09 2.391
-102.085 2.412
-102.085 2.486
-102.077 2.503
-102.082 2.574
-102.085 2.634
-102.111 2.784
-102.096 2.798
-102.118 2.893
-102.145 2.889
-102.171 2.988
