!lon lat
91.642 9.417
92.064 7.1
93.435 4.526
95.745 1.458
98.051 -1.79
100.038 -4.495
101.669 -6.345
104.18 -7.277
104.933 -7.622
104.933 -7.622
103.229 -8.937
100.256 -10.784
99.044 -11.72
97.977 -13.236
96.63 -15.594
95.057 -17.616
92.53 -21.098
90.902 -22.895
87.982 -26.208
86.41 -28.735
85.455 -30.026
83.433 -32.216
82.647 -33.339
80.909 -35.22
78.453 -36.991
78.453 -36.991
78.419 -36.96
79.32 -36.122
78.321 -35.422
78.458 -35.189
77.001 -34.267
78.035 -33.183
76.208 -31.934
76.552 -31.497
74.966 -30.28
75.302 -29.789
74.253 -29.032
74.59 -28.741
73.156 -27.399
72.869 -27.526
71.078 -26.118
70.908 -26.248
69.882 -25.648
69.492 -25.25
69.492 -25.25
69.798 -24.927
69.015 -22.33
69.124 -22.117
68.2 -20.352
67.778 -20.575
67.296 -20.14
66.846 -20.254
65.09 -18.078
66.836 -16.96
66.525 -16.454
67.345 -15.943
65.939 -13.93
66.778 -13.444
65.794 -12.024
66.435 -11.591
66.174 -11.216
66.578 -10.921
66.277 -10.469
67.329 -9.674
67.108 -9.321
68.36 -8.254
67.667 -7.452
67.985 -7.091
67.985 -7.091
67.869 -6.569
68.345 -6.095
68.008 -5.668
68.439 -5.078
68.141 -4.76
68.327 -4.341
67.662 -3.559
67.891 -3.136
67.063 -2.067
67.146 -1.943
67.146 -1.943
71.416 -1.724
74.898 -1.387
80.626 0.073
82.928 1.027
84.276 2.263
86.016 4.397
88.487 5.576
89.891 7.541
91.642 9.417
