!lon lat
142.981 24.586
142.483 24.49
141.899 24.245
141.708 24.236
141.708 24.236
141.09 25.228
141.09 25.228
140.226 25.069
139.262 24.85
139.262 24.85
138.473 26.917
137.854 28.511
137.028 30.806
136.65 31.939
136.553 31.946
136.366 32.415
136.366 32.415
136.516 32.481
138.531 33.753
139.238 34.205
139.849 34.604
141.164 34.938
141.702 35.111
141.928 35.16
141.971 35.212
141.971 35.212
142.0 35.0
142.0 34.0
142.0 33.0
142.2 31.0
142.5 30.0
142.8 29.0
143.2 28.0
143.2 27.0
143.0 26.0
143.0 25.0
142.981 24.586
