!lon lat
-180.0 50.45
-180.0 90.0
180.0 90.0
180.0 50.45
178.47 50.559
175.474 50.938
171.544 52.126
167.084 53.848
164.074 55.194
164.074 55.194
163.383 55.891
162.469 57.031
160.358 58.672
158.83 59.965
158.83 59.965
157.959 59.54
156.658 58.511
155.002 57.033
154.776 55.19
155.027 53.186
155.495 51.451
155.897 49.148
156.129 48.368
156.129 48.368
155.119 47.473
154.469 46.797
152.565 45.505
150.939 44.809
149.546 44.024
148.087 43.23
146.023 42.087
144.904 41.531
144.229 41.021
144.229 41.021
144.225 41.068
144.321 43.647
144.848 47.937
144.919 51.361
144.5 54.254
144.5 54.254
144.319 54.383
142.432 56.052
141.633 58.22
140.435 60.241
139.288 63.382
138.366 65.094
137.283 68.014
135.765 70.006
134.15 73.084
131.024 75.349
128.944 77.052
125.744 77.755
125.744 77.755
125.73 78.428
124.714 79.362
121.793 80.299
120.453 81.108
118.862 81.936
116.526 83.046
114.352 83.591
110.547 84.017
105.199 84.557
101.913 84.882
96.691 85.075
89.786 85.447
82.551 85.698
75.59 85.996
69.775 86.406
64.925 86.723
60.999 86.999
55.963 86.825
46.741 86.617
37.042 86.263
30.592 86.011
24.562 85.828
16.726 85.492
9.45 85.07
5.288 84.589
-0.273 83.953
-4.729 83.435
-6.3 82.927
-8.06 82.233
-8.06 82.233
-6.266 82.033
-4.435 81.876
-4.763 81.673
-3.387 81.579
-2.589 80.954
-1.469 80.845
-1.736 80.317
2.957 79.735
2.693 79.31
5.763 78.886
5.068 78.207
7.711 77.724
7.147 77.025
7.813 76.788
7.35 76.328
7.216 75.682
7.794 75.14
8.808 74.453
8.96 74.225
8.416 73.761
7.003 73.241
4.945 72.897
2.799 72.585
2.016 72.446
-1.106 71.949
-5.522 71.306
-7.292 71.124
-7.292 71.124
-7.356 71.128
-8.18 71.072
-9.592 71.06
-10.335 71.055
-10.65 70.97
-12.323 70.989
-13.287 70.766
-14.665 70.56
-15.066 70.253
-15.363 69.98
-15.849 69.617
-16.371 69.344
-16.954 68.969
-17.629 68.602
-18.01 68.209
-18.378 67.815
-18.642 67.39
-18.717 66.991
-18.619 66.427
-18.645 66.109
-18.639 66.092
-18.639 66.092
-19.024 65.9
-20.135 65.492
-21.422 64.959
-22.595 64.378
-23.284 63.958
-24.432 63.433
-25.161 62.943
-26.01 62.458
-26.607 62.023
-27.333 61.559
-27.959 61.153
-28.647 60.682
-29.166 60.334
-29.678 59.951
-30.179 59.566
-30.944 58.952
-31.609 58.563
-32.453 58.006
-33.272 57.509
-34.128 56.606
-34.754 55.944
-35.526 55.067
-35.518 54.84
-35.349 54.389
-35.331 53.706
-35.384 52.745
-35.333 52.584
-35.333 52.584
-33.224 52.483
-30.124 52.17
-30.077 52.17
-30.077 52.17
-30.08 52.145
-30.123 51.23
-29.835 51.149
-29.771 50.311
-28.368 50.102
-28.192 49.439
-28.113 49.331
-27.985 49.201
-27.85 49.037
-27.736 48.87
-27.703 48.733
-27.717 48.556
-27.524 48.524
-27.532 48.326
-27.448 48.217
-27.381 48.135
-27.328 48.039
-27.12 47.317
-27.141 46.842
-27.268 46.281
-27.598 45.506
-28.21 44.473
-28.757 44.537
-28.757 44.537
-28.878 44.143
-28.95 43.984
-29.236 44.02
-29.457 43.273
-29.465 42.991
-29.498 42.647
-29.459 42.474
-29.425 42.244
-29.461 41.997
-29.503 41.771
-29.62 41.505
-29.671 41.35
-29.683 41.188
-29.498 41.137
-29.595 40.815
-29.632 40.615
-29.841 40.624
-29.979 39.269
-30.166 39.296
-30.505 38.613
-30.671 38.261
-30.815 38.256
-31.212 37.509
-31.542 37.538
-31.66 37.201
-32.86 37.441
-33.002 37.041
-33.163 37.059
-33.278 36.645
-33.365 36.651
-33.513 36.366
-33.758 36.409
-33.923 36.159
-34.187 35.523
-34.537 35.578
-34.798 34.923
-36.064 35.159
-36.252 34.551
-36.848 34.65
-37.038 34.021
-37.381 34.088
-37.702 33.409
-37.765 33.415
-39.338 33.678
-39.741 33.043
-39.562 32.999
-40.969 31.11
-41.112 31.132
-41.411 30.725
-41.542 30.74
-42.167 29.931
-42.593 29.993
-42.865 29.361
-43.027 29.389
-43.377 28.726
-43.675 28.781
-44.812 25.943
-44.898 25.945
-45.263 25.133
-45.615 25.189
-45.892 24.485
-46.204 24.545
-46.453 23.845
-45.213 23.564
-45.28 22.555
-45.317 22.554
-45.386 21.757
-45.702 21.807
-45.986 20.617
-45.677 20.54
-45.867 19.727
-45.904 19.736
-46.024 18.844
-46.183 18.299
-46.267 18.313
-46.46 17.544
-46.407 17.529
-46.831 15.625
-46.831 15.625
-48.872 16.06
-50.878 16.215
-52.84 16.777
-55.713 17.846
-57.872 18.723
-60.33 19.181
-60.741 19.121
-61.238 19.584
-61.238 19.584
-64.49 19.757
-67.652 19.884
-70.499 19.832
-73.96 19.699
-76.718 19.408
-79.378 19.073
-81.668 18.739
-81.668 18.739
-81.61 17.816
-81.61 17.816
-83.438 17.549
-85.191 17.022
-87.009 16.276
-88.595 15.777
-90.216 15.542
-95.548 15.059
-97.41 15.322
-98.877 15.839
-98.877 15.839
-99.4 16.1
-99.9 16.3
-100.7 16.6
-101.4 16.9
-102.1 17.2
-102.9 17.6
-103.53 17.985
-104.111 18.424
-104.737 18.758
-105.158 19.05
-105.477 19.347
-105.759 19.905
-105.852 20.732
-105.795 21.479
-105.795 21.479
-105.949 21.655
-106.236 21.775
-106.686 21.974
-107.301 22.294
-108.0 23.0
-108.3 23.5
-108.7 24.1
-109.0 24.5
-109.1 24.6
-109.308 24.658
-109.436 24.784
-109.7 25.1
-109.95 25.287
-110.128 25.469
-110.33 25.643
-110.59 25.893
-110.805 26.229
-111.012 26.473
-111.111 26.585
-111.31 26.807
-111.588 27.219
-111.818 27.576
-112.16 27.679
-112.348 27.929
-112.641 28.168
-112.793 28.455
-113.004 28.625
-113.048 28.852
-113.285 29.014
-113.474 29.192
-113.648 29.52
-113.91 29.736
-114.075 29.973
-114.506 30.522
-114.837 30.885
-114.662 31.052
-114.662 31.052
-114.679 31.06
-115.44 31.478
-115.807 31.869
-116.427 32.237
-117.167 33.147
-118.286 33.448
-118.946 33.869
-119.513 34.237
-119.911 34.67
-120.436 34.974
-120.809 35.231
-121.757 35.827
-122.429 36.374
-122.9 36.728
-123.884 37.179
-124.327 37.774
-124.615 38.315
-124.841 38.805
-125.048 39.338
-125.129 39.578
-125.129 39.578
-125.194 40.729
-125.541 42.099
-125.691 43.519
-125.542 44.621
-125.56 45.486
-125.976 46.681
-126.368 47.717
-127.175 48.43
-127.822 49.08
-128.575 49.776
-129.726 50.522
-130.115 50.786
-130.115 50.786
-130.312 50.918
-130.973 51.441
-130.973 51.441
-131.1 51.5
-131.836 51.938
-133.2 53.0
-134.3 54.0
-134.9 55.0
-135.9 56.0
-136.3 57.0
-136.9 58.0
-137.4 58.5
-138.4 59.0
-139.163 59.308
-139.728 59.536
-140.398 59.724
-141.076 59.909
-141.708 60.095
-144.279 60.518
-144.279 60.518
-149.903 58.277
-153.954 56.14
-154.773 55.698
-155.444 55.313
-156.452 55.006
-157.081 54.749
-157.828 54.422
-158.682 54.091
-159.326 53.872
-163.457 52.849
-168.586 51.713
-173.002 50.819
-178.986 50.366
-180.0 50.45
