!x(deg/Myr) y(deg/Myr) z(deg/Myr)
8.82764e-01 4.45889e-01 8.85537e-01
1.17671e+00 6.49833e-01 1.17599e+00
1.32777e+00 7.45439e-01 1.33572e+00
1.33598e+00 7.69405e-01 1.34537e+00
7.47933e-01 3.64398e-01 7.60685e-01
9.53893e-01 5.08410e-01 9.73488e-01
1.27010e+00 7.26847e-01 1.29012e+00
1.23501e+00 6.85602e-01 1.25142e+00
1.08139e+00 5.89866e-01 1.09737e+00
1.15093e+00 6.30171e-01 1.16521e+00
1.23846e+00 6.96036e-01 1.25481e+00
1.05969e+00 5.66436e-01 1.07360e+00
1.14258e+00 6.22458e-01 1.15987e+00
1.25532e+00 7.15804e-01 1.25248e+00
9.07150e-01 4.82912e-01 9.30009e-01
1.41402e+00 8.09519e-01 1.40926e+00
1.31668e+00 7.39530e-01 1.30840e+00
9.30132e-01 4.75527e-01 9.29283e-01
1.16480e+00 6.41138e-01 1.17464e+00
1.28378e+00 7.05586e-01 1.27837e+00
1.06736e+00 5.64313e-01 1.08990e+00
1.25547e+00 7.05041e-01 1.26594e+00
1.14431e+00 6.28479e-01 1.15044e+00
1.24455e+00 6.95453e-01 1.25512e+00
9.33673e-01 4.86822e-01 9.43466e-01
1.26022e+00 6.99794e-01 1.27211e+00
8.79626e-01 4.62521e-01 9.08397e-01
1.13398e+00 6.10635e-01 1.14866e+00
1.01498e+00 5.43726e-01 1.03120e+00
9.28731e-01 4.89401e-01 9.37965e-01
1.26174e+00 6.99704e-01 1.26671e+00
9.59704e-01 5.22598e-01 9.75084e-01
9.60762e-01 4.96355e-01 9.81472e-01
1.16639e+00 6.32852e-01 1.17230e+00
7.30312e-01 3.49593e-01 7.50266e-01
1.41568e+00 8.15386e-01 1.41626e+00
1.09506e+00 5.92573e-01 1.09555e+00
1.35856e+00 7.79169e-01 1.36864e+00
1.11498e+00 6.01164e-01 1.12988e+00
8.88488e-01 4.54456e-01 9.20148e-01
1.06352e+00 5.66747e-01 1.07650e+00
1.20747e+00 6.59865e-01 1.20547e+00
1.00040e+00 5.34366e-01 1.01102e+00
9.45816e-01 5.11304e-01 9.63119e-01
1.01616e+00 5.44307e-01 1.02655e+00
9.85655e-01 5.26777e-01 1.01516e+00
1.26693e+00 7.01110e-01 1.28619e+00
1.08670e+00 5.90569e-01 1.09857e+00
1.02435e+00 5.40942e-01 1.02793e+00
1.36039e+00 7.73369e-01 1.36235e+00
