!lon lat
-78.662 3.834
-78.834 3.577
-79.064 3.369
-79.331 3.043
-79.608 2.662
-79.857 2.317
-80.004 2.108
-80.208 1.772
-80.43 1.427
-80.607 1.017
-80.756 0.698
-80.887 0.343
-81.074 -0.104
-81.195 -0.386
-81.289 -0.733
-81.402 -1.125
-81.423 -1.372
-81.462 -1.582
-81.511 -1.957
-81.56 -2.24
-81.58 -2.496
-81.611 -2.779
-81.963 -5.714
-80.556 -9.316
-77.828 -13.647
-74.772 -16.64
-73.855 -17.064
-72.183 -18.703
-71.604 -19.532
-71.273 -20.375
-71.253 -21.059
-71.063 -21.927
-71.176 -23.162
-71.592 -26.856
-72.192 -28.852
-72.716 -33.188
-74.028 -35.999
-74.53 -37.452
-74.636 -37.892
-74.661 -38.372
-74.813 -38.863
-74.928 -39.273
-75.024 -39.667
-75.018 -39.898
-74.998 -40.436
-75.048 -40.74
-75.146 -41.269
-75.178 -41.598
-75.347 -42.638
-75.387 -42.886
-75.436 -43.152
-75.467 -43.371
-75.591 -43.76
-75.658 -43.99
-75.754 -44.355
-75.877 -44.699
-75.782 -45.036
-75.713 -45.281
-75.646 -45.448
-75.646 -45.448
-76.675 -45.643
-77.661 -45.76
-77.764 -45.588
-77.99 -45.092
-78.206 -44.411
-78.893 -44.545
-79.586 -44.666
-80.281 -44.782
-81.106 -44.876
-81.935 -44.964
-82.138 -44.404
-82.351 -43.639
-82.509 -42.861
-83.448 -42.982
-83.454 -42.873
-83.604 -42.223
-83.716 -41.674
-83.827 -41.125
-84.487 -41.191
-85.148 -41.253
-86.24 -41.393
-87.336 -41.521
-87.417 -41.273
-88.447 -41.319
-89.25 -41.378
-90.054 -41.432
-90.088 -41.058
-90.739 -41.082
-91.391 -41.102
-91.476 -40.732
-91.512 -40.282
-91.548 -39.833
-91.604 -39.349
-91.658 -38.866
-92.34 -38.918
-93.022 -38.967
-93.075 -38.429
-93.996 -38.482
-94.093 -37.717
-94.13 -37.001
-94.91 -36.985
-95.689 -36.965
-96.552 -36.921
-97.413 -36.871
-97.402 -36.294
-98.417 -36.193
-99.532 -36.133
-100.645 -36.063
-101.286 -35.997
-101.926 -35.927
-102.565 -35.854
-103.202 -35.778
-103.998 -35.694
-104.793 -35.606
-105.391 -35.524
-105.988 -35.439
-106.666 -35.394
-107.343 -35.344
-108.071 -35.24
-108.797 -35.132
-109.259 -34.545
-109.255 -34.545
-109.277 -34.204
-109.27 -33.917
-109.205 -33.702
-109.323 -33.392
-109.41 -33.14
-109.183 -33.02
-108.972 -32.936
-109.206 -32.661
-109.435 -32.4
-109.791 -32.115
-110.21 -31.92
-110.687 -31.715
-111.202 -31.564
-111.66 -31.556
-112.023 -31.536
-112.023 -31.536
-111.964 -31.39
-111.978 -31.386
-111.951 -31.043
-111.885 -30.666
-111.851 -30.624
-111.797 -30.428
-111.773 -30.176
-111.773 -30.006
-111.749 -29.577
-111.805 -29.265
-112.374 -29.159
-112.957 -29.009
-113.02 -28.787
-113.017 -28.545
-113.012 -28.387
-112.937 -28.377
-112.96 -28.034
-112.971 -27.847
-113.0 -27.607
-113.131 -27.577
-113.13 -27.271
-113.111 -27.013
-112.942 -26.929
-112.95 -26.766
-112.978 -26.829
-113.53 -26.813
-113.934 -26.791
-114.52 -26.727
-115.105 -26.604
-115.291 -26.466
-115.518 -26.244
-115.747 -25.992
-116.028 -25.673
-116.354 -25.414
-116.49 -25.171
-116.099 -24.847
-116.225 -24.556
-116.184 -24.458
-115.968 -24.383
-115.912 -24.242
-115.482 -24.105
-115.402 -24.017
-115.424 -23.885
-115.598 -23.469
-115.254 -23.396
-115.184 -23.236
-114.962 -23.18
-114.875 -23.04
-114.57 -23.023
-114.496 -22.535
-114.505 -22.196
-114.511 -22.122
-114.421 -22.114
-114.38 -21.628
-114.318 -21.563
-114.227 -21.112
-114.087 -20.6
-113.931 -20.574
-113.799 -20.325
-113.498 -19.301
-113.623 -19.285
-113.364 -18.777
-113.52 -18.758
-113.383 -18.444
-113.264 -18.008
-113.388 -17.994
-113.174 -17.538
-113.329 -17.521
-113.117 -17.065
-113.241 -17.052
-113.041 -16.683
-113.165 -16.67
-112.973 -16.36
-113.066 -16.352
-112.973 -15.792
-112.766 -14.704
-112.613 -14.718
-112.582 -14.062
-112.439 -13.864
-112.426 -13.386
-111.266 -13.541
-111.191 -13.396
-111.007 -13.411
-110.892 -12.755
-111.077 -12.742
-110.926 -11.969
-110.816 -11.75
-110.675 -11.472
-110.485 -11.394
-110.447 -10.822
-110.292 -10.802
-110.272 -10.612
-110.219 -10.083
-110.071 -9.665
-109.857 -9.677
-109.775 -9.072
-109.756 -8.924
-108.32 -9.145
-108.193 -8.358
-108.062 -8.24
-107.898 -7.584
-107.88 -7.514
-107.653 -7.185
-107.607 -6.759
-107.441 -6.367
-106.95 -6.443
-106.845 -6.016
-106.752 -6.019
-106.741 -5.62
-106.587 -5.624
-106.569 -5.548
-106.524 -5.357
-106.477 -5.154
-106.45 -5.043
-106.368 -4.816
-106.311 -4.656
-106.271 -4.544
-106.253 -4.494
-105.544 -4.569
-105.38 -4.078
-104.699 -4.152
-104.539 -3.844
-103.817 -3.93
-103.068 -4.018
-102.735 -4.057
-102.711 -3.967
-102.683 -3.859
-102.656 -3.757
-102.6 -3.543
-102.571 -3.435
-102.568 -3.129
-102.566 -2.936
-102.696 -2.934
-102.754 -2.934
-102.716 -2.655
-102.695 -2.494
-102.677 -2.348
-102.656 -2.188
-102.621 -1.906
-102.402 -1.907
-102.378 -1.828
-102.356 -1.756
-102.335 -1.687
-102.307 -1.596
-102.394 -1.56
-102.462 -1.533
-102.422 -1.375
-102.399 -1.283
-102.524 -1.283
-102.496 -1.109
-102.449 -0.822
-102.397 -0.503
-102.35 -0.393
-102.319 -0.018
-102.293 0.163
-102.253 0.37
-102.21 0.706
-102.24 0.713
-102.182 1.136
-102.181 1.139
-102.181 1.139
-102.082 1.206
-101.959 1.269
-101.825 1.334
-101.644 1.404
-101.58 1.318
-101.487 1.389
-101.423 1.338
-101.348 1.399
-101.315 1.35
-101.195 1.423
-101.153 1.386
-101.047 1.471
-101.074 1.514
-100.964 1.655
-100.973 1.679
-100.908 1.744
-100.974 1.832
-101.049 1.906
-101.149 1.98
-101.196 2.197
-101.194 2.199
-101.194 2.199
-101.067 2.21
-100.643 2.204
-100.456 2.206
-100.066 2.207
-100.047 2.3
-99.914 2.272
-99.811 2.272
-99.739 2.269
-99.658 2.254
-99.657 2.19
-98.917 2.112
-98.889 2.213
-97.847 2.076
-97.551 2.088
-97.585 1.898
-96.175 1.873
-96.12 2.237
-95.226 2.221
-95.199 2.505
-93.611 2.371
-92.245 2.229
-92.088 2.198
-92.119 1.991
-91.536 2.011
-91.558 1.815
-90.695 1.738
-90.665 1.125
-85.386 0.832
-85.347 1.642
-84.576 1.6
-84.565 2.532
-84.469 3.114
-83.376 3.164
-82.823 3.12
-82.823 3.12
-82.757 7.684
-82.757 7.684
-81.779 7.123
-81.779 7.123
-79.986 6.738
-78.745 6.751
-78.745 6.751
-78.661 5.8
-78.809 4.524
-78.662 3.834
