!lon lat
134.641 6.977
134.71 6.971
136.669 7.256
137.347 7.649
137.856 8.258
138.289 9.039
138.289 9.039
144.797 6.123
146.097 6.123
146.097 6.123
148.676 3.274
148.726 1.414
149.145 0.43
149.305 -0.642
149.305 -0.642
147.476 -0.311
145.909 -0.397
144.427 -0.798
143.796 -0.722
142.877 -1.008
141.696 -1.445
140.823 -1.34
140.083 -1.648
139.727 -1.926
139.727 -1.926
139.001 -1.675
138.315 -1.447
137.572 -1.19
136.972 -1.018
136.867 -0.978
136.867 -0.978
134.839 -0.719
132.749 -0.793
132.749 -0.793
132.764 -0.629
132.668 0.602
132.787 1.842
132.805 3.712
133.103 4.589
133.506 5.799
134.247 6.552
134.641 6.977
