!lon lat
127.862 3.363
127.659 2.97
127.659 2.97
127.195 3.464
126.304 4.285
126.288 4.388
126.288 4.388
126.174 3.994
126.174 3.994
125.857 4.517
125.016 5.164
123.959 6.132
123.599 7.787
123.584 7.889
123.584 7.889
123.404 8.091
122.639 8.835
122.168 9.713
122.102 10.651
121.736 11.734
121.346 12.879
120.777 13.207
120.0 13.652
119.542 15.101
119.49 17.28
120.36 18.697
120.427 20.837
120.967 23.308
120.967 23.308
121.237 23.273
122.069 23.25
122.069 23.25
122.062 23.091
122.293 21.596
123.119 17.406
123.008 17.076
123.008 17.076
123.309 16.374
124.216 15.435
126.326 12.055
127.461 8.024
127.862 3.363
