!lon lat
152.124 -3.647
152.58 -4.051
153.662 -5.818
153.662 -5.818
153.187 -5.772
152.571 -5.653
151.912 -5.919
151.57 -6.175
151.049 -6.513
150.315 -6.828
149.388 -7.03
149.222 -7.147
149.222 -7.147
148.614 -6.795
147.933 -6.228
146.602 -5.39
145.277 -4.276
144.21 -3.549
144.2 -3.546
144.2 -3.546
144.368 -3.531
144.807 -3.55
145.399 -3.485
146.11 -3.471
146.415 -3.438
146.836 -3.755
146.918 -3.641
146.999 -3.514
147.083 -3.385
147.162 -3.261
147.241 -3.152
147.325 -3.053
147.407 -2.962
147.478 -2.909
147.539 -2.881
147.605 -2.879
147.816 -2.813
147.983 -2.922
148.123 -3.026
148.329 -3.141
148.499 -3.222
148.675 -3.306
148.878 -3.395
149.089 -3.466
149.295 -3.522
149.453 -3.544
149.603 -3.57
149.717 -3.58
149.773 -3.592
149.816 -3.618
149.952 -3.725
150.188 -3.819
150.246 -3.905
150.706 -3.808
150.98 -3.7
151.092 -3.797
151.323 -3.656
151.421 -3.748
151.561 -3.665
151.677 -3.771
152.032 -3.635
152.124 -3.647
