!lon lat
-25.951 -60.395
-26.014 -60.384
-27.698 -60.624
-27.698 -60.624
-27.697 -60.617
-27.705 -60.467
-28.677 -60.459
-29.598 -60.435
-29.881 -60.174
-30.031 -59.937
-30.108 -59.515
-29.555 -59.514
-29.563 -58.817
-29.951 -58.805
-30.007 -58.272
-29.844 -58.262
-29.852 -57.598
-30.069 -57.6
-30.134 -57.095
-30.134 -57.095
-30.38 -57.094
-30.469 -56.851
-30.743 -56.859
-30.743 -56.57
-30.727 -56.511
-30.721 -56.449
-30.378 -56.443
-30.334 -56.29
-30.325 -56.134
-30.332 -56.052
-30.334 -55.949
-30.326 -55.863
-30.316 -55.754
-29.817 -55.683
-29.773 -55.605
-29.794 -55.501
-29.815 -55.327
-29.715 -55.204
-29.75 -54.861
-29.75 -54.861
-29.489 -55.033
-28.647 -55.005
-27.604 -55.095
-26.995 -55.232
-26.414 -55.424
-25.721 -55.84
-25.149 -56.292
-24.696 -56.734
-24.233 -57.174
-24.13 -57.425
-23.819 -58.195
-23.991 -58.921
-24.456 -59.386
-25.069 -59.973
-25.951 -60.395
