!lon lat
-177.289 -27.728
-178.716 -27.614
-178.585 -27.294
-177.669 -24.775
-177.379 -22.679
-177.239 -22.28
-176.738 -20.592
-176.651 -20.468
-176.799 -20.426
-176.476 -19.391
-176.75 -19.152
-176.591 -17.807
-176.975 -16.598
-176.975 -16.598
-175.409 -16.709
-175.409 -16.709
-175.331 -16.135
-175.489 -16.046
-175.372 -15.811
-175.579 -15.789
-175.491 -15.404
-175.492 -14.84
-175.402 -14.312
-175.359 -14.153
-175.24 -13.851
-175.24 -13.851
-174.715 -14.148
-173.52 -14.695
-172.981 -15.419
-172.883 -16.198
-172.76 -17.251
-173.073 -18.239
-173.577 -18.785
-173.828 -19.878
-174.429 -21.684
-175.592 -23.761
-176.033 -25.093
-176.196 -25.93
-176.454 -27.818
-176.454 -27.818
-177.289 -27.728
