!lon lat
-104.807 18.807
-104.737 18.758
-104.111 18.424
-103.53 17.985
-102.9 17.6
-102.1 17.2
-101.4 16.9
-100.7 16.6
-99.9 16.3
-99.4 16.1
-98.877 15.839
-98.877 15.839
-97.41 15.322
-96.037 15.13
-96.037 15.13
-94.834 14.5
-91.58 12.892
-89.232 11.869
-87.788 10.668
-85.747 9.374
-82.757 7.684
-82.757 7.684
-82.823 3.12
-82.823 3.12
-83.376 3.164
-84.469 3.114
-84.565 2.532
-84.576 1.6
-85.347 1.642
-85.386 0.832
-90.665 1.125
-90.695 1.738
-91.558 1.815
-91.536 2.011
-92.119 1.991
-92.088 2.198
-92.245 2.229
-93.611 2.371
-95.199 2.505
-95.226 2.221
-96.12 2.237
-96.175 1.873
-97.585 1.898
-97.551 2.088
-97.847 2.076
-98.889 2.213
-98.917 2.112
-99.657 2.19
-99.658 2.254
-99.739 2.269
-99.811 2.272
-99.914 2.272
-100.047 2.3
-100.066 2.207
-100.456 2.206
-100.643 2.204
-101.067 2.21
-101.196 2.199
-101.203 2.24
-101.499 2.606
-101.898 2.999
-102.171 2.988
-102.171 2.988
-102.193 3.072
-102.219 3.239
-102.199 3.458
-102.258 3.749
-102.258 3.749
-102.182 3.777
-102.458 5.528
-102.657 7.183
-102.96 8.399
-104.23 8.342
-104.257 8.456
-104.295 9.172
-104.295 10.016
-103.597 10.122
-103.628 10.276
-103.739 10.936
-103.877 11.873
-103.77 11.892
-103.927 12.585
-104.437 14.071
-104.69 15.273
-105.32 15.107
-105.358 15.558
-105.396 16.263
-105.367 17.031
-105.399 17.768
-105.402 17.868
-104.807 18.807
