!lon lat
-125.172 40.346
-125.45 40.354
-126.159 40.39
-126.869 40.422
-127.579 40.45
-127.579 40.539
-127.717 40.573
-127.639 41.081
-127.56 41.589
-127.446 41.555
-127.401 41.641
-127.241 41.692
-127.039 42.357
-126.627 43.014
-127.571 43.42
-128.528 43.818
-129.498 44.208
-130.48 44.589
-130.367 44.93
-130.069 45.285
-130.187 45.414
-129.936 45.736
-129.869 45.896
-130.073 45.943
-130.051 46.196
-129.917 46.229
-129.803 46.433
-129.572 46.402
-129.259 47.065
-128.938 47.727
-129.19 47.835
-128.94 48.324
-129.147 48.476
-128.919 48.869
-129.705 49.177
-130.501 49.479
-130.162 49.983
-130.3 50.055
-130.162 50.217
-130.329 50.298
-130.254 50.465
-130.753 50.908
-131.074 51.185
-130.95 51.423
-130.95 51.423
-130.312 50.918
-130.115 50.786
-130.115 50.786
-129.726 50.522
-128.575 49.776
-127.822 49.08
-127.175 48.43
-126.368 47.717
-125.976 46.681
-125.56 45.486
-125.542 44.621
-125.691 43.519
-125.541 42.099
-125.194 40.729
-125.172 40.346
