!lon lat
41.418 11.384
42.437 11.574
43.7 11.9
46.3 12.2
46.5 12.5
48.2 12.6
48.8 13.0
49.8 13.1
50.2 13.4
51.2 13.1
52.2 14.6
52.8 14.4
53.0 14.6
53.8 14.3
54.5 15.2
56.1 14.3
56.3 14.5
57.5 13.5
58.3 12.7
59.007 11.946
59.686 11.232
56.337 8.983
56.337 8.983
57.636 7.702
58.515 7.114
59.587 6.104
59.492 5.911
60.576 5.05
62.207 3.494
63.426 2.762
64.826 2.267
64.961 2.496
66.537 1.432
66.079 0.681
66.427 0.419
66.248 0.127
66.731 -0.32
66.462 -0.698
66.799 -1.031
66.647 -1.245
67.302 -1.708
67.063 -2.067
67.891 -3.136
67.662 -3.559
68.327 -4.341
68.141 -4.76
68.439 -5.078
68.008 -5.668
68.345 -6.095
67.869 -6.569
67.985 -7.091
67.985 -7.091
67.667 -7.452
68.36 -8.254
67.108 -9.321
67.329 -9.674
66.277 -10.469
66.578 -10.921
66.174 -11.216
66.435 -11.591
65.794 -12.024
66.778 -13.444
65.939 -13.93
67.345 -15.943
66.525 -16.454
66.836 -16.96
65.09 -18.078
66.846 -20.254
67.296 -20.14
67.778 -20.575
68.2 -20.352
69.124 -22.117
69.015 -22.33
69.798 -24.927
69.492 -25.25
69.492 -25.25
69.53 -25.29
69.53 -25.29
67.742 -26.647
67.38 -26.671
67.371 -26.893
67.071 -26.981
66.912 -27.322
65.847 -27.61
64.733 -27.85
63.639 -27.955
62.536 -28.326
60.803 -29.364
60.547 -30.585
60.3 -30.582
59.178 -30.637
59.04 -31.055
58.424 -31.191
58.313 -31.634
57.129 -32.16
56.974 -33.549
55.675 -33.845
55.505 -34.333
54.661 -34.429
54.517 -34.705
53.66 -35.455
53.509 -36.561
52.331 -36.625
52.221 -37.333
49.278 -37.755
49.166 -38.02
47.331 -38.545
47.343 -38.782
46.277 -39.069
46.08 -39.846
42.692 -40.888
41.497 -44.01
39.97 -43.776
39.981 -43.419
39.474 -43.27
39.096 -44.076
36.98 -44.637
35.664 -44.666
34.959 -46.092
33.89 -45.91
33.625 -46.48
33.625 -46.48
32.706 -46.173
37.567 -36.993
28.907 -30.623
27.759 -29.06
26.589 -28.158
26.591 -26.771
27.899 -26.19
27.485 -24.414
29.294 -22.496
33.1 -21.334
33.28 -19.681
34.586 -18.368
35.202 -17.974
35.191 -16.848
34.605 -15.851
34.848 -14.545
34.071 -13.178
34.174 -12.409
34.708 -11.04
34.074 -10.438
33.562 -8.748
32.636 -8.544
31.612 -7.775
30.495 -7.488
29.594 -6.078
29.6 -5.099
28.951 -3.966
28.867 -2.323
29.393 -1.313
29.876 0.062
30.605 1.422
31.62 2.497
31.553 2.528
30.457 2.819
30.515 4.205
31.287 4.462
32.194 5.689
36.294 5.032
36.926 5.954
37.593 5.957
38.07 6.93
39.497 8.724
40.784 10.095
41.418 11.384
