!lon lat
67.253 26.0
67.241 25.661
67.109 25.539
66.839 25.208
66.839 25.208
66.375 25.208
64.036 25.082
61.709 25.729
59.923 26.501
57.385 27.628
54.319 29.152
52.485 30.84
50.851 32.135
47.911 33.625
45.401 35.523
43.756 36.276
42.536 36.689
41.157 37.059
39.681 37.311
38.92 37.293
37.94 37.138
37.179 36.633
36.404 36.003
35.873 36.355
35.873 36.355
35.873 36.355
35.873 36.355
35.83 36.382
35.542 36.349
35.542 36.349
34.736 35.815
32.571 35.726
30.829 35.943
26.284 36.9
26.09 36.932
26.09 36.932
25.944 37.75
23.731 40.306
22.245 41.926
22.264 43.064
25.774 45.651
25.774 45.651
26.093 45.679
26.145 45.688
26.145 45.688
25.669 47.446
25.899 48.068
21.133 49.471
19.038 49.175
17.819 48.837
16.752 48.126
15.321 47.495
9.999 47.3
9.999 47.3
9.888 45.143
9.736 43.073
13.423 40.137
12.888 38.815
10.163 37.039
5.332 36.321
4.363 36.254
4.363 36.254
0.29 36.661
-4.688 36.414
-7.886 36.556
-9.885 36.859
-11.21 36.788
-15.624 36.229
-18.863 36.004
-22.295 35.823
-25.318 35.637
-28.663 35.485
-33.371 35.162
-34.681 35.218
-34.681 35.218
-34.537 35.578
-34.187 35.523
-33.923 36.159
-33.758 36.409
-33.513 36.366
-33.365 36.651
-33.278 36.645
-33.163 37.059
-33.002 37.041
-32.86 37.441
-31.66 37.201
-31.542 37.538
-31.212 37.509
-30.815 38.256
-30.671 38.261
-30.505 38.613
-30.166 39.296
-29.979 39.269
-29.841 40.624
-29.632 40.615
-29.595 40.815
-29.498 41.137
-29.683 41.188
-29.671 41.35
-29.62 41.505
-29.503 41.771
-29.461 41.997
-29.425 42.244
-29.459 42.474
-29.498 42.647
-29.465 42.991
-29.457 43.273
-29.236 44.02
-28.95 43.984
-28.878 44.143
-28.757 44.537
-28.757 44.537
-28.21 44.473
-27.598 45.506
-27.268 46.281
-27.141 46.842
-27.12 47.317
-27.328 48.039
-27.381 48.135
-27.448 48.217
-27.532 48.326
-27.524 48.524
-27.717 48.556
-27.703 48.733
-27.736 48.87
-27.85 49.037
-27.985 49.201
-28.113 49.331
-28.192 49.439
-28.368 50.102
-29.771 50.311
-29.835 51.149
-30.123 51.23
-30.08 52.145
-30.077 52.17
-30.077 52.17
-30.124 52.17
-33.224 52.483
-35.333 52.584
-35.333 52.584
-35.384 52.745
-35.331 53.706
-35.349 54.389
-35.518 54.84
-35.526 55.067
-34.754 55.944
-34.128 56.606
-33.272 57.509
-32.453 58.006
-31.609 58.563
-30.944 58.952
-30.179 59.566
-29.678 59.951
-29.166 60.334
-28.647 60.682
-27.959 61.153
-27.333 61.559
-26.607 62.023
-26.01 62.458
-25.161 62.943
-24.432 63.433
-23.284 63.958
-22.595 64.378
-21.422 64.959
-20.135 65.492
-19.024 65.9
-18.639 66.092
-18.639 66.092
-18.645 66.109
-18.619 66.427
-18.717 66.991
-18.642 67.39
-18.378 67.815
-18.01 68.209
-17.629 68.602
-16.954 68.969
-16.371 69.344
-15.849 69.617
-15.363 69.98
-15.066 70.253
-14.665 70.56
-13.287 70.766
-12.323 70.989
-10.65 70.97
-10.335 71.055
-9.592 71.06
-8.18 71.072
-7.356 71.128
-7.292 71.124
-7.292 71.124
-5.522 71.306
-1.106 71.949
2.016 72.446
2.799 72.585
4.945 72.897
7.003 73.241
8.416 73.761
8.96 74.225
8.808 74.453
7.794 75.14
7.216 75.682
7.35 76.328
7.813 76.788
7.147 77.025
7.711 77.724
5.068 78.207
5.763 78.886
2.693 79.31
2.957 79.735
-1.736 80.317
-1.469 80.845
-2.589 80.954
-3.387 81.579
-4.763 81.673
-4.435 81.876
-6.266 82.033
-8.06 82.233
-8.06 82.233
-6.3 82.927
-4.729 83.435
-0.273 83.953
5.288 84.589
9.45 85.07
16.726 85.492
24.562 85.828
30.592 86.011
37.042 86.263
46.741 86.617
55.963 86.825
60.999 86.999
64.925 86.723
69.775 86.406
