!lon lat
67.146 -1.943
67.302 -1.708
66.647 -1.245
66.799 -1.031
66.462 -0.698
66.731 -0.32
66.248 0.127
66.427 0.419
66.079 0.681
66.537 1.432
64.961 2.496
64.826 2.267
63.426 2.762
62.207 3.494
60.576 5.05
59.492 5.911
59.587 6.104
58.515 7.114
57.636 7.702
56.337 8.983
56.337 8.983
59.686 11.232
59.007 11.946
58.3 12.7
58.159 12.841
58.159 12.841
58.785 13.609
59.9 15.5
61.209 17.302
62.643 19.478
64.122 21.888
65.511 23.68
66.552 24.854
67.109 25.539
67.241 25.661
67.241 25.661
67.253 26.0
67.253 26.518
67.248 27.085
67.332 27.912
67.342 28.404
67.24 28.573
67.277 29.377
67.301 29.795
67.849 30.073
68.31 29.878
68.68 29.209
69.086 29.096
69.881 29.262
70.1 29.84
70.178 30.423
70.258 31.006
70.101 31.459
69.942 31.913
70.439 32.431
70.942 32.947
71.392 33.477
71.847 34.005
72.459 34.682
73.03 34.176
73.593 33.667
74.314 33.159
75.089 32.881
75.675 32.189
75.722 31.633
76.521 31.154
77.007 30.738
77.641 30.558
78.076 30.226
78.422 29.887
78.912 29.678
79.197 29.393
79.79 29.143
80.226 29.093
80.546 28.975
81.043 28.79
81.361 28.414
82.2 28.167
82.935 27.882
83.667 27.593
84.158 27.452
84.649 27.309
85.622 27.17
86.252 27.095
86.481 26.737
86.82 26.668
87.219 27.022
87.745 26.909
88.32 26.885
89.282 27.027
89.772 26.847
90.329 26.937
91.258 27.008
91.781 27.033
92.305 27.056
93.233 27.117
93.57 27.11
94.189 27.501
94.829 27.918
95.466 28.183
96.234 28.135
96.792 28.11
97.348 28.083
97.471 27.702
97.346 27.241
97.13 26.82
96.906 26.287
96.581 25.647
96.31 25.134
96.117 24.48
96.098 24.385
96.098 24.385
95.407 23.626
94.67 21.654
94.182 19.788
93.492 17.605
92.695 14.711
91.45 10.462
91.45 10.462
91.642 9.417
91.642 9.417
89.891 7.541
88.487 5.576
86.016 4.397
84.276 2.263
82.928 1.027
80.626 0.073
74.898 -1.387
71.416 -1.724
67.146 -1.943
