!lon lat
151.559 -7.922
151.68 -7.955
152.062 -8.104
152.411 -8.26
152.685 -8.388
152.959 -8.544
153.108 -8.684
153.17 -8.783
153.237 -8.89
153.254 -9.172
153.254 -9.172
153.687 -8.976
155.478 -7.489
155.478 -7.489
156.524 -8.47
156.524 -8.47
156.442 -9.164
156.283 -9.215
156.08 -9.259
156.09 -9.518
155.9 -9.561
155.843 -9.492
155.651 -9.561
155.614 -9.501
155.488 -9.553
155.469 -9.483
155.16 -9.619
155.197 -9.716
155.074 -9.796
154.845 -9.832
154.843 -9.724
154.218 -9.909
154.192 -10.313
153.493 -10.359
153.282 -10.386
152.891 -10.393
152.883 -10.108
152.692 -10.069
152.242 -10.051
152.254 -9.959
151.991 -9.957
151.917 -9.935
151.805 -9.896
151.58 -9.869
151.58 -9.869
151.559 -7.922
