!lon lat
180.0 -37.4573
180.0 -67.3697
172.5977 -69.6632
172.5977 -69.6632
171.667 -69.3137
169.967 -68.4756
160.1242 -61.9586
160.1242 -61.9586
160.8019 -61.805
160.8019 -61.805
160.848 -61.5207
160.183 -60.2584
160.004 -60.0796
159.729 -59.7375
159.109 -59.517
158.48 -59.1646
158.069 -58.8131
157.693 -58.3722
157.564 -58.0461
157.481 -57.7121
157.489 -57.4534
157.442 -57.2619
157.46 -57.2126
157.578 -57.1038
157.732 -56.8904
157.804 -56.6408
157.866 -56.4299
157.865 -56.2481
157.883 -56.1366
157.883 -56.0706
157.919 -56.0146
158.037 -55.9942
158.192 -55.9788
158.31 -55.9532
158.483 -55.8611
158.528 -55.8407
158.755 -55.7381
158.973 -55.6712
159.208 -55.4288
159.308 -55.2526
159.371 -55.0705
159.47 -54.8088
159.559 -54.5242
159.603 -54.2111
159.684 -53.8794
159.783 -53.6532
160.209 -53.1422
160.499 -52.8294
160.879 -52.5419
161.142 -52.3083
161.369 -52.0959
161.723 -51.7979
161.94 -51.6397
162.148 -51.3217
162.356 -50.9671
162.51 -50.6964
162.754 -50.3137
162.917 -50.0977
163.062 -49.9043
163.216 -49.7336
163.343 -49.5919
163.46 -49.4913
163.542 -49.4023
163.651 -49.3131
163.832 -49.1821
164.004 -48.973
164.131 -48.781
164.266 -48.4978
164.393 -48.2616
164.483 -48.0669
164.583 -47.8471
164.663 -47.6201
164.6908 -47.5747
164.6908 -47.5747
164.69 -47.56
164.67 -47.29
165.43 -46.15
165.78 -45.81
166.05 -45.59
166.44 -45.31
166.77 -45.06
167.1 -44.82
167.37 -44.65
168.49 -44.16
168.77 -44.02
169.13 -43.84
169.64 -43.6
170.11 -43.36
170.488 -43.0749
170.6156 -42.7397
170.6156 -42.7397
171.27 -42.73
171.86 -42.61
172.6 -42.48
173.13 -42.39
173.72 -42.29
174.31 -42.2
174.98 -42.12
175.5 -42.06
176.08 -41.91
176.68 -41.75
177.12 -41.66
177.6 -41.5
178.02 -41.19
178.29 -40.8
178.56 -40.42
178.79 -40.09
178.95 -39.68
179.004 -39.2076
180.0 -37.4573
nan nan
180.0 50.4498
180.0 -17.5541
179.516 -17.8233
176.6307 -19.5408
176.6307 -19.5408
176.3901 -18.9674
175.903 -17.9629
175.6795 -17.2558
175.2316 -16.6673
174.5689 -15.3713
173.9773 -14.1489
172.5911 -13.1231
171.2604 -12.3006
170.2146 -11.5009
169.0773 -10.8923
168.8689 -10.7689
168.8689 -10.7689
167.948 -11.0097
166.939 -11.2014
166.056 -11.5378
165.2942 -11.6942
165.2942 -11.6942
165.134 -11.1531
165.0095 -10.7
165.0095 -10.7
163.7203 -11.1097
162.384 -11.0675
161.15 -10.7989
159.92 -9.9802
158.387 -9.3658
156.585 -8.5272
155.039 -7.0753
154.7783 -6.9647
154.7783 -6.9647
154.73 -6.8581
154.533 -6.4232
154.545 -5.901
154.592 -5.5805
154.978 -5.2401
154.992 -4.8866
154.955 -4.5503
154.7 -4.2829
154.359 -3.9484
154.256 -3.6121
154.035 -3.3268
153.882 -3.041
153.711 -2.6876
153.542 -2.6039
153.39 -2.4357
153.119 -2.2003
152.916 -2.1502
152.578 -2.1341
152.155 -1.8648
151.816 -1.6456
151.427 -1.4602
151.089 -1.3083
150.717 -1.224
150.344 -1.1228
150.023 -1.0214
149.769 -1.0045
149.481 -0.8185
149.3198 -0.7384
149.3198 -0.7384
