!lon lat
-105.402 17.868
-106.308 17.929
-106.318 18.016
-106.311 18.12
-106.281 18.282
-106.244 18.52
-106.527 18.544
-106.755 18.59
-107.002 18.647
-107.213 18.733
-107.273 18.756
-107.523 18.863
-107.816 18.936
-108.233 19.108
-108.198 19.224
-108.535 19.384
-108.896 19.55
-108.903 19.625
-109.16 19.807
-109.45 20.028
-109.373 20.142
-109.378 20.175
-109.319 20.243
-109.215 20.397
-109.187 20.5
-109.285 20.559
-109.261 20.642
-109.194 20.739
-109.111 20.824
-108.915 21.068
-108.809 21.253
-108.977 21.347
-108.936 21.451
-108.784 21.643
-108.669 21.773
-108.574 21.897
-108.676 21.96
-108.589 22.102
-108.516 22.201
-108.527 22.277
-108.407 22.44
-108.273 22.613
-108.232 22.712
-108.01 22.986
-108.001 23.001
-108.001 23.001
-108.0 23.0
-107.301 22.294
-106.686 21.974
-106.236 21.775
-105.949 21.655
-105.795 21.479
-105.795 21.479
-105.852 20.732
-105.759 19.905
-105.477 19.347
-105.158 19.05
-104.807 18.807
-104.807 18.807
-105.402 17.868
