!lon lat
-112.023 -31.536
-111.66 -31.556
-111.202 -31.564
-110.687 -31.715
-110.21 -31.92
-109.791 -32.115
-109.435 -32.4
-109.206 -32.661
-108.972 -32.936
-109.183 -33.02
-109.41 -33.14
-109.323 -33.392
-109.205 -33.702
-109.27 -33.917
-109.277 -34.204
-109.255 -34.545
-109.259 -34.545
-109.691 -34.609
-109.919 -34.702
-110.141 -34.817
-110.326 -34.946
-110.527 -35.061
-110.795 -35.092
-110.795 -35.092
-110.827 -35.091
-111.133 -34.993
-111.369 -34.921
-111.4 -34.912
-111.756 -34.811
-112.187 -34.674
-112.417 -34.556
-112.562 -34.3
-112.628 -33.999
-112.604 -33.663
-112.504 -33.65
-112.46 -33.399
-112.443 -33.118
-112.418 -32.794
-112.415 -32.489
-112.356 -32.328
-112.151 -32.343
-112.065 -32.114
-112.063 -31.948
-112.041 -31.772
-112.046 -31.692
-112.042 -31.605
-112.023 -31.536
