!lon lat
43.7 11.9
42.437 11.574
41.418 11.384
41.418 11.384
40.784 10.095
39.497 8.724
38.07 6.93
37.593 5.957
36.926 5.954
36.294 5.032
32.194 5.689
31.287 4.462
30.515 4.205
30.457 2.819
31.553 2.528
31.62 2.497
30.605 1.422
29.876 0.062
29.393 -1.313
28.867 -2.323
28.951 -3.966
29.6 -5.099
29.594 -6.078
30.495 -7.488
31.612 -7.775
32.636 -8.544
33.562 -8.748
34.074 -10.438
34.708 -11.04
34.174 -12.409
34.071 -13.178
34.848 -14.545
34.605 -15.851
35.191 -16.848
35.202 -17.974
34.586 -18.368
33.28 -19.681
33.1 -21.334
29.294 -22.496
27.485 -24.414
27.899 -26.19
26.591 -26.771
26.589 -28.158
27.759 -29.06
28.907 -30.623
37.567 -36.993
32.706 -46.173
33.625 -46.48
33.625 -46.48
32.198 -49.347
31.355 -49.215
29.82 -52.193
28.939 -51.971
28.609 -52.772
27.711 -52.602
27.388 -53.119
25.749 -52.83
25.288 -53.513
23.194 -53.259
19.102 -52.701
15.857 -51.685
15.401 -52.278
14.421 -51.926
13.971 -52.38
12.767 -51.901
11.324 -53.279
10.039 -52.776
7.983 -54.37
6.726 -53.933
6.198 -54.377
5.467 -54.141
4.968 -54.504
3.375 -53.878
2.267 -54.642
1.5 -54.363
1.076 -54.724
-0.387 -54.175
-2.26 -54.164
-2.26 -54.164
-2.852 -53.063
-3.753 -53.201
-4.295 -52.145
-4.485 -52.182
-5.454 -50.257
-6.468 -50.423
-6.754 -49.946
-6.998 -49.977
-7.415 -48.797
-9.899 -49.226
-10.758 -47.186
-13.555 -47.59
-13.912 -45.837
-14.948 -45.988
-15.105 -45.459
-16.188 -45.588
-17.045 -40.455
-16.55 -40.36
-16.65 -39.844
-16.262 -39.77
-16.741 -38.486
-17.751 -38.598
-18.027 -37.51
-17.215 -37.376
-17.611 -35.658
-15.515 -35.332
-15.638 -34.283
-15.095 -34.22
-15.014 -33.627
-14.432 -33.478
-14.326 -32.436
-13.304 -32.209
-13.919 -29.278
-12.463 -28.973
-12.723 -28.242
-13.099 -28.308
-13.685 -26.634
-13.98 -26.649
-14.158 -25.821
-13.572 -25.674
-13.732 -24.943
-13.398 -24.815
-13.778 -22.911
-12.733 -22.752
-12.77 -22.404
-11.696 -22.169
-12.817 -17.859
-13.97 -18.064
-14.379 -16.533
-13.237 -16.275
-13.784 -14.193
-14.571 -14.317
-15.103 -12.012
-13.206 -11.533
-13.662 -9.418
-13.404 -9.332
-13.758 -7.53
-11.321 -6.94
-12.389 -3.089
-12.271 -3.053
-12.199 -3.025
-12.199 -3.025
-12.235 -2.939
-13.05 -0.893
-15.304 -1.411
-15.446 -1.087
-15.706 -1.142
-15.923 -0.526
-16.144 -0.556
-16.379 0.232
-24.449 -1.236
-24.918 0.592
-26.172 0.457
-26.347 1.133
-29.747 0.772
-29.924 1.602
-30.597 1.564
-30.852 3.982
-32.724 3.901
-32.86 5.597
-33.448 5.602
-33.508 6.562
-35.24 6.564
-35.254 6.904
-35.929 6.981
-35.96 7.314
-36.724 7.357
-36.752 7.593
-38.078 7.65
-38.101 8.03
-40.009 8.106
-40.004 8.708
-40.524 8.725
-40.52 9.302
-40.741 9.319
-40.738 9.879
-40.971 9.881
-40.972 10.67
-43.787 10.908
-43.764 12.029
-44.138 12.056
-44.145 12.487
-44.936 12.544
-45.027 14.942
-46.864 15.339
-46.899 15.344
-46.899 15.344
-46.87 15.448
-46.407 17.529
-46.46 17.544
-46.267 18.313
-46.183 18.299
-46.024 18.844
-45.904 19.736
-45.867 19.727
-45.677 20.54
-45.986 20.617
-45.702 21.807
-45.386 21.757
-45.317 22.554
-45.28 22.555
-45.213 23.564
-46.453 23.845
-46.204 24.545
-45.892 24.485
-45.615 25.189
-45.263 25.133
-44.898 25.945
-44.812 25.943
-43.675 28.781
-43.377 28.726
-43.027 29.389
-42.865 29.361
-42.593 29.993
-42.167 29.931
-41.542 30.74
-41.411 30.725
-41.112 31.132
-40.969 31.11
-39.562 32.999
-39.741 33.043
-39.338 33.678
-37.765 33.415
-37.702 33.409
-37.381 34.088
-37.038 34.021
-36.848 34.65
-36.252 34.551
-36.064 35.159
-34.798 34.923
-34.681 35.218
-34.681 35.218
-33.371 35.162
-28.663 35.485
-25.318 35.637
-22.295 35.823
-18.863 36.004
-15.624 36.229
-11.21 36.788
-9.885 36.859
-7.886 36.556
-4.688 36.414
0.29 36.661
4.363 36.254
4.363 36.254
5.332 36.321
10.163 37.039
12.888 38.815
13.423 40.137
9.736 43.073
9.888 45.143
9.999 47.3
9.999 47.3
12.757 47.432
12.757 47.432
12.989 47.121
15.287 45.881
18.347 44.805
20.067 43.856
21.414 42.143
22.879 40.676
23.398 40.678
23.398 40.678
23.731 40.306
25.944 37.75
26.09 36.932
26.09 36.932
26.284 36.9
30.829 35.943
32.571 35.726
34.736 35.815
35.542 36.349
35.542 36.349
35.83 36.382
35.873 36.355
35.873 36.355
35.6 35.9
35.8 35.7
35.7 34.9
35.5 34.0
35.2 32.9
35.0 32.1
35.0 31.3
34.9 30.8
34.9 30.0
34.9 29.5
34.7 29.0
34.5 28.4
34.2 27.9
34.2 27.1
34.2 27.1
34.6 26.6
35.3 25.3
36.2 23.8
37.2 22.0
38.5 19.8
39.4 18.1
40.5 16.0
41.6 14.3
42.5 13.2
43.5 12.2
43.7 11.9
