!lon lat
144.2 -3.546
142.962 -3.118
141.94 -2.732
140.944 -2.247
139.829 -1.961
139.727 -1.926
139.727 -1.926
140.083 -1.648
140.823 -1.34
141.696 -1.445
142.877 -1.008
143.796 -0.722
144.427 -0.798
145.909 -0.397
147.476 -0.311
149.317 -0.644
149.317 -0.644
149.332 -0.744
149.332 -0.744
149.481 -0.818
149.769 -1.005
150.023 -1.021
150.344 -1.123
150.717 -1.224
151.089 -1.308
151.427 -1.46
151.816 -1.646
152.155 -1.865
152.578 -2.134
152.916 -2.15
153.119 -2.2
153.39 -2.436
153.542 -2.604
153.711 -2.688
153.882 -3.041
154.035 -3.327
154.256 -3.612
154.359 -3.948
154.7 -4.283
154.955 -4.55
154.992 -4.887
154.978 -5.24
154.592 -5.581
154.545 -5.901
154.533 -6.423
154.721 -6.839
154.721 -6.839
153.93 -6.254
152.58 -4.051
152.124 -3.647
152.124 -3.647
152.032 -3.635
151.677 -3.771
151.561 -3.665
151.421 -3.748
151.323 -3.656
151.092 -3.797
150.98 -3.7
150.706 -3.808
150.246 -3.905
150.188 -3.819
149.952 -3.725
149.816 -3.618
149.773 -3.592
149.717 -3.58
149.603 -3.57
149.453 -3.544
149.295 -3.522
149.089 -3.466
148.878 -3.395
148.675 -3.306
148.499 -3.222
148.329 -3.141
148.123 -3.026
147.983 -2.922
147.816 -2.813
147.605 -2.879
147.539 -2.881
147.478 -2.909
147.407 -2.962
147.325 -3.053
147.241 -3.152
147.162 -3.261
147.083 -3.385
146.999 -3.514
146.918 -3.641
146.836 -3.755
146.415 -3.438
146.11 -3.471
145.399 -3.485
144.807 -3.55
144.368 -3.531
144.2 -3.546
