!lon lat
132.031 29.967
133.012 30.361
134.058 31.205
134.941 31.77
136.366 32.415
136.366 32.415
136.553 31.946
136.65 31.939
137.028 30.806
137.854 28.511
138.473 26.917
139.262 24.85
139.262 24.85
140.226 25.069
141.09 25.228
141.09 25.228
142.759 22.509
144.106 19.989
144.258 19.758
144.373 19.798
144.8 18.959
144.991 19.045
145.167 18.534
145.357 17.919
145.197 17.85
145.392 16.826
145.209 16.686
144.307 14.549
143.221 12.787
142.558 11.315
142.558 11.315
142.3 11.2
140.733 10.846
138.95 10.813
138.497 9.413
137.856 8.258
137.347 7.649
136.669 7.256
134.71 6.971
134.641 6.977
134.641 6.977
134.247 6.552
133.506 5.799
133.103 4.589
132.805 3.712
132.787 1.842
132.668 0.602
132.764 -0.629
132.749 -0.793
132.749 -0.793
132.126 -0.815
128.592 -1.147
126.919 -1.029
126.919 -1.029
126.873 0.055
127.046 1.147
127.396 2.46
127.862 3.363
127.862 3.363
127.461 8.024
126.326 12.055
124.216 15.435
123.309 16.374
123.008 17.076
123.008 17.076
123.119 17.406
122.293 21.596
122.062 23.091
122.069 23.25
122.069 23.25
123.569 23.198
125.53 23.511
126.61 23.987
128.462 25.517
129.731 26.672
130.214 27.245
130.73 28.001
131.127 28.806
131.724 29.558
132.031 29.967
