!lon lat
43.7 11.9
43.5 12.2
42.5 13.2
41.6 14.3
40.5 16.0
39.4 18.1
38.5 19.8
37.2 22.0
36.2 23.8
35.3 25.3
34.6 26.6
34.2 27.1
34.2 27.1
34.2 27.9
34.5 28.4
34.7 29.0
34.9 29.5
34.9 30.0
34.9 30.8
35.0 31.3
35.0 32.1
35.2 32.9
35.5 34.0
35.7 34.9
35.8 35.7
35.6 35.9
35.873 36.355
35.873 36.355
36.404 36.003
37.179 36.633
37.94 37.138
38.92 37.293
39.681 37.311
41.157 37.059
42.536 36.689
43.756 36.276
45.401 35.523
47.911 33.625
50.851 32.135
52.485 30.84
54.319 29.152
57.385 27.628
59.923 26.501
61.709 25.729
64.036 25.082
66.375 25.208
66.839 25.208
66.839 25.208
66.552 24.854
65.511 23.68
64.122 21.888
62.643 19.478
61.209 17.302
59.9 15.5
58.785 13.609
58.159 12.841
58.159 12.841
57.5 13.5
56.3 14.5
56.1 14.3
54.5 15.2
53.8 14.3
53.0 14.6
52.8 14.4
52.2 14.6
51.2 13.1
50.2 13.4
49.8 13.1
48.8 13.0
48.2 12.6
46.5 12.5
46.3 12.2
43.7 11.9
