!lon lat
180.0 -17.5541
180.0 -37.4573
179.004 -39.2076
178.95 -39.68
178.79 -40.09
178.56 -40.42
178.29 -40.8
178.02 -41.19
177.6 -41.5
177.12 -41.66
176.68 -41.75
176.08 -41.91
175.5 -42.06
174.98 -42.12
174.31 -42.2
173.72 -42.29
173.13 -42.39
172.6 -42.48
171.86 -42.61
171.27 -42.73
170.6156 -42.7397
170.6156 -42.7397
170.488 -43.0749
170.11 -43.36
169.64 -43.6
169.13 -43.84
168.77 -44.02
168.49 -44.16
167.37 -44.65
167.1 -44.82
166.77 -45.06
166.44 -45.31
166.05 -45.59
165.78 -45.81
165.43 -46.15
164.67 -47.29
164.69 -47.56
164.6908 -47.5747
164.6908 -47.5747
164.663 -47.6201
164.583 -47.8471
164.483 -48.0669
164.393 -48.2616
164.266 -48.4978
164.131 -48.781
164.004 -48.973
163.832 -49.1821
163.651 -49.3131
163.542 -49.4023
163.46 -49.4913
163.343 -49.5919
163.216 -49.7336
163.062 -49.9043
162.917 -50.0977
162.754 -50.3137
162.51 -50.6964
162.356 -50.9671
162.148 -51.3217
161.94 -51.6397
161.723 -51.7979
161.369 -52.0959
161.142 -52.3083
160.879 -52.5419
160.499 -52.8294
160.209 -53.1422
159.783 -53.6532
159.684 -53.8794
159.603 -54.2111
159.559 -54.5242
159.47 -54.8088
159.371 -55.0705
159.308 -55.2526
159.208 -55.4288
158.973 -55.6712
158.755 -55.7381
158.528 -55.8407
158.483 -55.8611
158.31 -55.9532
158.192 -55.9788
158.037 -55.9942
157.919 -56.0146
157.883 -56.0706
157.883 -56.1366
157.865 -56.2481
157.866 -56.4299
157.804 -56.6408
157.732 -56.8904
157.578 -57.1038
157.46 -57.2126
157.442 -57.2619
157.489 -57.4534
157.481 -57.7121
157.564 -58.0461
157.693 -58.3722
158.069 -58.8131
158.48 -59.1646
159.109 -59.517
159.729 -59.7375
160.004 -60.0796
160.183 -60.2584
160.848 -61.5207
160.8019 -61.805
160.8019 -61.805
156.069 -62.7801
154.235 -60.9996
151.529 -61.4224
150.769 -60.1373
149.138 -57.3582
148.094 -57.5268
146.818 -54.5186
144.075 -54.8145
143.672 -53.6837
141.467 -53.832
140.945 -52.3695
139.941 -52.4302
139.642 -50.3812
137.292 -50.359
133.669 -50.3911
130.005 -50.3622
127.304 -50.2211
127.377 -48.9437
126.262 -48.8687
126.224 -49.3488
125.685 -49.3489
123.992 -48.8929
123.799 -49.498
121.604 -49.4417
121.685 -49.0387
120.917 -48.8837
120.756 -49.5385
120.564 -49.5125
118.142 -49.398
116.685 -49.0594
116.48 -49.7359
114.523 -49.4925
114.24 -50.0383
106.674 -48.7293
106.512 -48.9544
106.521 -48.94
103.703 -48.2531
99.9813 -47.2804
99.4773 -47.8983
95.8355 -46.6209
96.8707 -45.0906
92.7724 -43.4739
88.3584 -41.6742
87.8429 -42.2757
85.205 -40.9771
83.733 -42.6229
81.0064 -41.0824
80.2215 -41.7433
77.0027 -39.7185
79.1361 -37.6112
78.4533 -36.9914
80.9094 -35.2195
82.6472 -33.3393
83.4334 -32.2162
85.455 -30.0261
86.4096 -28.7346
87.9819 -26.2076
90.902 -22.8945
92.5304 -21.0976
95.0574 -17.616
96.6297 -15.5944
97.9774 -13.2359
99.0444 -11.7198
100.256 -10.7842
103.229 -8.937
