!lon lat
102.875 -6.795
101.669 -6.345
100.038 -4.495
98.051 -1.79
95.745 1.458
93.435 4.526
92.508 6.271
92.508 6.271
93.68 6.972
93.873 7.105
93.873 7.105
94.441 7.447
94.182 7.897
93.979 8.424
93.869 8.744
93.813 9.045
94.07 9.119
93.951 9.513
93.83 9.947
93.771 10.383
94.104 10.452
94.068 10.801
94.549 10.847
94.604 31.855
96.255 29.19
96.913 26.021
96.086 22.398
96.192 19.997
96.841 17.062
97.368 13.614
97.368 13.614
97.164 13.239
96.66 11.526
96.61 9.269
96.846 6.756
97.394 4.84
97.739 4.55
97.739 4.55
98.726 2.19
101.239 -1.814
102.46 -3.385
103.098 -4.655
103.088 -5.862
102.875 -6.795
