!lon(degE) lat(degN)
2.54165e+01 4.01564e+01
2.58605e+01 3.97078e+01
2.62562e+01 3.95286e+01
2.66101e+01 3.92980e+01
2.71380e+01 3.88764e+01
2.76719e+01 3.84991e+01
2.79538e+01 3.82275e+01
2.81998e+01 3.79645e+01
2.82780e+01 3.77570e+01
2.82543e+01 3.75205e+01
2.82545e+01 3.72689e+01
2.84107e+01 3.69833e+01
2.87888e+01 3.63607e+01
2.91369e+01 3.59703e+01
2.93888e+01 3.57284e+01
2.97309e+01 3.54273e+01
2.97309e+01 3.54273e+01
3.02208e+01 3.51543e+01
3.07929e+01 3.49908e+01
3.12560e+01 3.48260e+01
3.17399e+01 3.46341e+01
3.21719e+01 3.44871e+01
3.26678e+01 3.43899e+01
3.31007e+01 3.42903e+01
3.37354e+01 3.43017e+01
3.40542e+01 3.45045e+01
3.44998e+01 3.47855e+01
3.49001e+01 3.50910e+01
3.53621e+01 3.54051e+01
3.57912e+01 3.56890e+01
3.64134e+01 3.60232e+01
3.64134e+01 3.60232e+01
3.63892e+01 3.62596e+01
3.64665e+01 3.67303e+01
3.67895e+01 3.73979e+01
3.70832e+01 3.75118e+01
3.76822e+01 3.78337e+01
3.80417e+01 3.79941e+01
3.83652e+01 3.81214e+01
3.88565e+01 3.83141e+01
3.94017e+01 3.84970e+01
4.01627e+01 3.87681e+01
4.06242e+01 3.88568e+01
4.10015e+01 3.90799e+01
4.10015e+01 3.90799e+01
4.04492e+01 3.93925e+01
3.98920e+01 3.97025e+01
3.92684e+01 3.99087e+01
3.87948e+01 4.00091e+01
3.80213e+01 4.02690e+01
3.70620e+01 4.06003e+01
3.61686e+01 4.08487e+01
3.55272e+01 4.10018e+01
3.48317e+01 4.11231e+01
3.42864e+01 4.11587e+01
3.34053e+01 4.10231e+01
3.23925e+01 4.08601e+01
3.14817e+01 4.06786e+01
3.11161e+01 4.06149e+01
3.07745e+01 4.06010e+01
3.00071e+01 4.07682e+01
2.90302e+01 4.06861e+01
2.87245e+01 4.06679e+01
2.79873e+01 4.06176e+01
2.75677e+01 4.06400e+01
2.72559e+01 4.07892e+01
2.65968e+01 4.05532e+01
2.60097e+01 4.03255e+01
2.54165e+01 4.01564e+01
2.54165e+01 4.01564e+01
