!x(deg/Myr) y(deg/Myr) z(deg/Myr)
1.08821e+00 5.81310e-01 1.07261e+00
1.16322e+00 6.32592e-01 1.14245e+00
1.17709e+00 6.45080e-01 1.15849e+00
1.29064e+00 7.19446e-01 1.26556e+00
1.16950e+00 6.42064e-01 1.15356e+00
1.25349e+00 6.96969e-01 1.23310e+00
1.21084e+00 6.72515e-01 1.19255e+00
1.18528e+00 6.50661e-01 1.16798e+00
1.20145e+00 6.62292e-01 1.17885e+00
1.16035e+00 6.36766e-01 1.14844e+00
1.14258e+00 6.21620e-01 1.12807e+00
1.20939e+00 6.70390e-01 1.19094e+00
1.18506e+00 6.45539e-01 1.16427e+00
1.21926e+00 6.77506e-01 1.20173e+00
1.17455e+00 6.42923e-01 1.15629e+00
1.18613e+00 6.48061e-01 1.17000e+00
1.33673e+00 7.56364e-01 1.31112e+00
1.23564e+00 6.84799e-01 1.21457e+00
1.20977e+00 6.66744e-01 1.18945e+00
1.11364e+00 6.04285e-01 1.09625e+00
1.10725e+00 5.97953e-01 1.09066e+00
1.20338e+00 6.64925e-01 1.18387e+00
1.08595e+00 5.86136e-01 1.07350e+00
1.14356e+00 6.27725e-01 1.12579e+00
1.09118e+00 5.86265e-01 1.07397e+00
1.13206e+00 6.14218e-01 1.11224e+00
1.19396e+00 6.53405e-01 1.17379e+00
1.18125e+00 6.50339e-01 1.16374e+00
1.02821e+00 5.42851e-01 1.01563e+00
1.16993e+00 6.41840e-01 1.15189e+00
1.21319e+00 6.69834e-01 1.19402e+00
1.15961e+00 6.37678e-01 1.14243e+00
1.25327e+00 6.96376e-01 1.23319e+00
1.22170e+00 6.73339e-01 1.20016e+00
1.19488e+00 6.54830e-01 1.17568e+00
1.11864e+00 6.01806e-01 1.09999e+00
1.11236e+00 6.03699e-01 1.09872e+00
1.16803e+00 6.41673e-01 1.15257e+00
1.16953e+00 6.37392e-01 1.15008e+00
1.03286e+00 5.40584e-01 1.01491e+00
1.27823e+00 7.19245e-01 1.26061e+00
1.18683e+00 6.48591e-01 1.16541e+00
1.27910e+00 7.14950e-01 1.25817e+00
1.30189e+00 7.28099e-01 1.28191e+00
1.23079e+00 6.81369e-01 1.20921e+00
1.17103e+00 6.40633e-01 1.15336e+00
1.15426e+00 6.26742e-01 1.13438e+00
1.16384e+00 6.32013e-01 1.14178e+00
1.14125e+00 6.19412e-01 1.12200e+00
1.10603e+00 5.94562e-01 1.08697e+00
1.07210e+00 5.76399e-01 1.05831e+00
1.14041e+00 6.16353e-01 1.12596e+00
1.15565e+00 6.29311e-01 1.13674e+00
1.09993e+00 5.89964e-01 1.08365e+00
1.19869e+00 6.56952e-01 1.17872e+00
1.27034e+00 7.09649e-01 1.25183e+00
1.20255e+00 6.61518e-01 1.18144e+00
1.17479e+00 6.44111e-01 1.15789e+00
1.10131e+00 5.96544e-01 1.08791e+00
1.28062e+00 7.15509e-01 1.26090e+00
1.07678e+00 5.74748e-01 1.05980e+00
1.13147e+00 6.14507e-01 1.11846e+00
1.24542e+00 6.92307e-01 1.22122e+00
1.13346e+00 6.14938e-01 1.11501e+00
1.25888e+00 6.98204e-01 1.23913e+00
1.24102e+00 6.88184e-01 1.22196e+00
