!lon lat
-81.668 18.739
-79.378 19.073
-76.718 19.408
-73.96 19.699
-70.499 19.832
-67.652 19.884
-64.49 19.757
-61.238 19.584
-61.238 19.584
-59.196 17.66
-58.356 15.848
-57.655 14.925
-57.282 13.071
-57.636 11.222
-57.788 10.695
-57.788 10.695
-69.923 11.541
-75.05 12.207
-75.05 12.207
-75.886 11.352
-77.419 9.287
-78.434 7.938
-78.426 6.728
-78.426 6.728
-78.41 6.716
-78.295 6.47
-78.196 6.341
-78.044 6.04
-77.974 5.82
-77.922 5.574
-77.924 5.374
-77.926 5.173
-77.954 5.101
-77.964 5.091
-78.417 4.348
-78.456 4.057
-78.622 3.894
-78.662 3.834
-78.662 3.834
-78.809 4.524
-78.661 5.8
-78.745 6.751
-78.745 6.751
-78.745 6.751
-78.745 6.751
-78.745 6.751
-78.745 6.751
-79.986 6.738
-81.779 7.123
-81.779 7.123
-85.747 9.374
-87.788 10.668
-89.232 11.869
-91.58 12.892
-94.834 14.5
-96.037 15.13
-96.037 15.13
-95.548 15.059
-90.216 15.542
-88.595 15.777
-87.009 16.276
-85.191 17.022
-83.438 17.549
-81.61 17.816
-81.61 17.816
-81.668 18.739
