!lon lat
-76.257 -51.761
-74.99 -52.556
-73.625 -53.058
-71.788 -53.872
-69.632 -54.39
-67.987 -54.55
-65.699 -54.54
-64.101 -54.305
-61.813 -53.72
-60.519 -53.632
-59.031 -53.623
-57.194 -53.607
-55.146 -53.525
-54.018 -53.199
-51.942 -52.728
-50.218 -52.65
-48.82 -52.769
-47.863 -52.643
-46.609 -52.66
-45.398 -52.793
-43.724 -53.045
-41.944 -53.054
-40.276 -53.347
-39.201 -53.308
-37.64 -53.195
-35.979 -53.477
-35.0 -54.151
-33.972 -54.379
-31.875 -54.81
-29.737 -54.869
-29.737 -54.869
-29.75 -54.861
-29.75 -54.861
-29.715 -55.204
-29.815 -55.327
-29.794 -55.501
-29.773 -55.605
-29.817 -55.683
-30.316 -55.754
-30.326 -55.863
-30.334 -55.949
-30.332 -56.052
-30.325 -56.134
-30.334 -56.29
-30.378 -56.443
-30.721 -56.449
-30.727 -56.511
-30.743 -56.57
-30.743 -56.859
-30.469 -56.851
-30.38 -57.094
-30.134 -57.095
-30.134 -57.095
-30.069 -57.6
-29.852 -57.598
-29.844 -58.262
-30.007 -58.272
-29.951 -58.805
-29.563 -58.817
-29.555 -59.514
-30.108 -59.515
-30.031 -59.937
-29.881 -60.174
-29.598 -60.435
-28.677 -60.459
-27.705 -60.467
-27.697 -60.617
-27.698 -60.624
-27.698 -60.624
-27.726 -60.628
-30.94 -60.534
-32.372 -60.411
-33.473 -60.707
-34.822 -60.988
-36.418 -61.392
-37.63 -61.234
-39.092 -61.019
-39.825 -60.635
-41.214 -60.975
-42.064 -60.502
-44.021 -60.262
-45.058 -60.153
-45.605 -60.091
-46.955 -59.961
-48.252 -59.968
-50.886 -60.093
-51.119 -60.573
-52.066 -60.752
-52.587 -60.894
-53.121 -61.036
-54.334 -61.511
-54.873 -61.528
-54.873 -61.528
-55.943 -60.932
-59.04 -59.729
-62.25 -58.624
-64.921 -57.959
-67.101 -57.063
-67.101 -57.063
-67.663 -56.941
-71.845 -55.596
-74.51 -54.312
-75.663 -53.021
-76.257 -51.761
