!lon lat
149.999 -7.62
149.545 -7.333
149.222 -7.147
149.222 -7.147
149.388 -7.03
150.315 -6.828
151.049 -6.513
151.57 -6.175
151.912 -5.919
152.571 -5.653
153.187 -5.772
153.662 -5.818
153.662 -5.818
153.93 -6.254
154.721 -6.839
154.721 -6.839
154.73 -6.858
154.778 -6.965
154.778 -6.965
155.039 -7.075
155.478 -7.489
155.478 -7.489
153.687 -8.976
153.254 -9.172
153.254 -9.172
153.237 -8.89
153.17 -8.783
153.108 -8.684
152.959 -8.544
152.685 -8.388
152.411 -8.26
152.062 -8.104
151.68 -7.955
151.307 -7.852
150.917 -7.757
150.555 -7.687
150.173 -7.629
149.999 -7.62
