!lon lat
180.0 -67.37
180.0 -90.0
-180.0 -90.0
-180.0 -67.37
-177.253 -66.293
-177.74 -65.808
-177.74 -65.808
-177.072 -65.607
-175.729 -65.183
-175.07 -65.505
-174.418 -65.835
-173.709 -65.506
-172.517 -64.978
-171.3 -64.356
-170.043 -64.859
-169.839 -64.764
-169.109 -64.245
-168.379 -63.73
-167.513 -63.106
-166.608 -62.49
-166.199 -62.606
-165.149 -63.007
-163.921 -63.467
-163.001 -62.967
-162.061 -62.394
-161.338 -62.614
-160.43 -62.923
-159.888 -62.595
-158.703 -63.004
-158.394 -62.788
-157.601 -63.07
-156.717 -63.324
-156.022 -62.952
-155.254 -62.433
-154.324 -61.776
-154.181 -61.836
-153.661 -61.399
-152.943 -60.841
-152.119 -60.158
-151.329 -59.469
-150.382 -59.718
-149.809 -59.314
-149.264 -58.822
-148.276 -58.13
-147.692 -57.555
-147.167 -57.638
-146.681 -57.308
-145.979 -56.669
-145.412 -56.228
-144.857 -55.784
-144.482 -55.91
-143.324 -56.262
-142.086 -56.619
-141.211 -56.839
-140.325 -57.053
-140.041 -56.772
-139.545 -56.268
-139.191 -55.725
-139.578 -55.615
-139.253 -55.251
-138.799 -54.712
-138.338 -54.141
-137.89 -53.568
-137.522 -53.688
-136.59 -53.907
-136.18 -53.396
-135.307 -53.643
-134.205 -53.887
-132.87 -54.237
-132.126 -54.432
-131.375 -54.623
-130.059 -54.931
-129.345 -55.129
-128.624 -55.322
-127.231 -55.565
-126.8 -55.064
-126.197 -55.138
-125.077 -55.454
-124.262 -55.587
-123.442 -55.715
-122.655 -55.873
-121.862 -56.026
-121.635 -55.832
-121.228 -55.219
-120.663 -54.41
-119.685 -54.642
-118.581 -54.819
-118.313 -54.35
-118.037 -53.691
-117.661 -53.124
-118.977 -52.897
-118.875 -52.752
-118.422 -52.212
-118.12 -51.772
-117.824 -51.331
-117.522 -50.875
-117.225 -50.418
-116.802 -49.893
-116.388 -49.368
-115.233 -49.589
-114.556 -49.721
-113.875 -49.849
-113.745 -49.357
-113.528 -48.841
-113.315 -48.324
-113.131 -47.773
-112.95 -47.222
-112.685 -46.538
-112.426 -45.854
-112.675 -45.833
-112.55 -45.494
-112.381 -44.938
-112.216 -44.381
-111.971 -43.774
-111.73 -43.166
-111.538 -42.683
-111.349 -42.2
-110.954 -42.249
-110.832 -41.356
-110.754 -40.76
-110.677 -40.164
-110.533 -39.575
-110.391 -38.986
-111.27 -38.978
-111.268 -38.878
-111.067 -38.276
-110.869 -37.674
-110.668 -37.042
-110.471 -36.41
-110.739 -36.358
-110.715 -36.219
-110.579 -35.83
-110.895 -35.797
-110.877 -35.319
-110.828 -35.095
-110.828 -35.095
-110.826 -35.095
-110.527 -35.061
-110.326 -34.946
-110.141 -34.817
-109.919 -34.702
-109.691 -34.609
-109.259 -34.545
-109.259 -34.545
-108.797 -35.132
-108.071 -35.24
-107.343 -35.344
-106.666 -35.394
-105.988 -35.439
-105.391 -35.524
-104.793 -35.606
-103.998 -35.694
-103.202 -35.778
-102.565 -35.854
-101.926 -35.927
-101.286 -35.997
-100.645 -36.063
-99.532 -36.133
-98.417 -36.193
-97.402 -36.294
-97.413 -36.871
-96.552 -36.921
-95.689 -36.965
-94.91 -36.985
-94.13 -37.001
-94.093 -37.717
-93.996 -38.482
-93.075 -38.429
-93.022 -38.967
-92.34 -38.918
-91.658 -38.866
-91.604 -39.349
-91.548 -39.833
-91.512 -40.282
-91.476 -40.732
-91.391 -41.102
-90.739 -41.082
-90.088 -41.058
-90.054 -41.432
-89.25 -41.378
-88.447 -41.319
-87.417 -41.273
-87.336 -41.521
-86.24 -41.393
-85.148 -41.253
-84.487 -41.191
-83.827 -41.125
-83.716 -41.674
-83.604 -42.223
-83.454 -42.873
-83.448 -42.982
-82.509 -42.861
-82.351 -43.639
-82.138 -44.404
-81.935 -44.964
-81.106 -44.876
-80.281 -44.782
-79.586 -44.666
-78.893 -44.545
-78.206 -44.411
-77.99 -45.092
-77.764 -45.588
-77.661 -45.76
-76.675 -45.643
-75.65 -45.449
-75.65 -45.449
-75.605 -45.556
-75.605 -45.556
-75.548 -45.761
-75.57 -46.078
-75.706 -46.606
-75.839 -46.973
-75.946 -47.419
-76.561 -47.613
-77.335 -48.189
-77.56 -49.11
-77.263 -49.826
-77.062 -50.573
-77.142 -51.18
-77.142 -51.18
-76.257 -51.761
-75.663 -53.021
-74.51 -54.312
-71.845 -55.596
-67.663 -56.941
-67.101 -57.063
-67.101 -57.063
-64.921 -57.959
-62.25 -58.624
-59.04 -59.729
-55.943 -60.932
-54.873 -61.528
-54.873 -61.528
-54.334 -61.511
-53.121 -61.036
-52.587 -60.894
-52.066 -60.752
-51.119 -60.573
-50.886 -60.093
-48.252 -59.968
-46.955 -59.961
-45.605 -60.091
-45.058 -60.153
-44.021 -60.262
-42.064 -60.502
-41.214 -60.975
-39.825 -60.635
-39.092 -61.019
-37.63 -61.234
-36.418 -61.392
-34.822 -60.988
-33.473 -60.707
-32.372 -60.411
-30.94 -60.534
-27.726 -60.628
-26.094 -60.396
-26.094 -60.396
-25.997 -60.396
-24.113 -60.687
-21.671 -60.748
-19.582 -60.812
-19.373 -60.289
-18.646 -60.251
-18.432 -59.541
-18.124 -59.51
-18.061 -59.154
-17.642 -59.128
-16.906 -59.098
-16.41 -59.097
-16.226 -58.766
-16.004 -58.46
-15.98 -58.439
-13.689 -58.3
-10.879 -58.144
-8.641 -57.989
-7.6 -57.929
-7.013 -57.871
-7.013 -57.606
-6.999 -57.317
-6.542 -57.271
-6.131 -57.24
-6.057 -56.672
-5.439 -56.626
-4.693 -56.591
-4.675 -56.219
-4.691 -55.808
-1.612 -55.643
-1.611 -55.226
-1.611 -55.226
-2.238 -54.203
-2.26 -54.164
-2.26 -54.164
-0.387 -54.175
1.076 -54.724
1.5 -54.363
2.267 -54.642
3.375 -53.878
4.968 -54.504
