!lon lat
-75.05 12.207
-69.923 11.541
-57.788 10.695
-57.788 10.695
-57.636 11.222
-57.282 13.071
-57.655 14.925
-58.356 15.848
-59.196 17.66
-60.741 19.121
-60.741 19.121
-60.33 19.181
-57.872 18.723
-55.713 17.846
-52.84 16.777
-50.878 16.215
-48.872 16.06
-46.831 15.625
-46.831 15.625
-46.87 15.448
-46.899 15.344
-46.899 15.344
-46.864 15.339
-45.027 14.942
-44.936 12.544
-44.145 12.487
-44.138 12.056
-43.764 12.029
-43.787 10.908
-40.972 10.67
-40.971 9.881
-40.738 9.879
-40.741 9.319
-40.52 9.302
-40.524 8.725
-40.004 8.708
-40.009 8.106
-38.101 8.03
-38.078 7.65
-36.752 7.593
-36.724 7.357
-35.96 7.314
-35.929 6.981
-35.254 6.904
-35.24 6.564
-33.508 6.562
-33.448 5.602
-32.86 5.597
-32.724 3.901
-30.852 3.982
-30.597 1.564
-29.924 1.602
-29.747 0.772
-26.347 1.133
-26.172 0.457
-24.918 0.592
-24.449 -1.236
-16.379 0.232
-16.144 -0.556
-15.923 -0.526
-15.706 -1.142
-15.446 -1.087
-15.304 -1.411
-13.05 -0.893
-12.235 -2.939
-12.199 -3.025
-12.199 -3.025
-12.271 -3.053
-12.389 -3.089
-11.321 -6.94
-13.758 -7.53
-13.404 -9.332
-13.662 -9.418
-13.206 -11.533
-15.103 -12.012
-14.571 -14.317
-13.784 -14.193
-13.237 -16.275
-14.379 -16.533
-13.97 -18.064
-12.817 -17.859
-11.696 -22.169
-12.77 -22.404
-12.733 -22.752
-13.778 -22.911
-13.398 -24.815
-13.732 -24.943
-13.572 -25.674
-14.158 -25.821
-13.98 -26.649
-13.685 -26.634
-13.099 -28.308
-12.723 -28.242
-12.463 -28.973
-13.919 -29.278
-13.304 -32.209
-14.326 -32.436
-14.432 -33.478
-15.014 -33.627
-15.095 -34.22
-15.638 -34.283
-15.515 -35.332
-17.611 -35.658
-17.215 -37.376
-18.027 -37.51
-17.751 -38.598
-16.741 -38.486
-16.262 -39.77
-16.65 -39.844
-16.55 -40.36
-17.045 -40.455
-16.188 -45.588
-15.105 -45.459
-14.948 -45.988
-13.912 -45.837
-13.555 -47.59
-10.758 -47.186
-9.899 -49.226
-7.415 -48.797
-6.998 -49.977
-6.754 -49.946
-6.468 -50.423
-5.454 -50.257
-4.485 -52.182
-4.295 -52.145
-3.753 -53.201
-2.852 -53.063
-2.238 -54.203
-1.611 -55.226
-1.611 -55.226
-1.612 -55.643
-4.691 -55.808
-4.675 -56.219
-4.693 -56.591
-5.439 -56.626
-6.057 -56.672
-6.131 -57.24
-6.542 -57.271
-6.999 -57.317
-7.013 -57.606
-7.013 -57.871
-7.6 -57.929
-8.641 -57.989
-10.879 -58.144
-13.689 -58.3
-15.98 -58.439
-16.004 -58.46
-16.226 -58.766
-16.41 -59.097
-16.906 -59.098
-17.642 -59.128
-18.061 -59.154
-18.124 -59.51
-18.432 -59.541
-18.646 -60.251
-19.373 -60.289
-19.582 -60.812
-21.671 -60.748
-24.113 -60.687
-25.965 -60.401
-25.965 -60.401
-25.069 -59.973
-24.456 -59.386
-23.991 -58.921
-23.819 -58.195
-24.13 -57.425
-24.233 -57.174
-24.696 -56.734
-25.149 -56.292
-25.721 -55.84
-26.414 -55.424
-26.995 -55.232
-27.604 -55.095
-28.647 -55.005
-29.489 -55.033
-29.737 -54.869
-29.737 -54.869
-31.875 -54.81
-33.972 -54.379
-35.0 -54.151
-35.979 -53.477
-37.64 -53.195
-39.201 -53.308
-40.276 -53.347
-41.944 -53.054
-43.724 -53.045
-45.398 -52.793
-46.609 -52.66
-47.863 -52.643
-48.82 -52.769
-50.218 -52.65
-51.942 -52.728
-54.018 -53.199
-55.146 -53.525
-57.194 -53.607
-59.031 -53.623
-60.519 -53.632
-61.813 -53.72
-64.101 -54.305
-65.699 -54.54
-67.987 -54.55
-69.632 -54.39
-71.788 -53.872
-73.625 -53.058
-74.99 -52.556
-77.142 -51.18
-77.142 -51.18
-77.062 -50.573
-77.263 -49.826
-77.56 -49.11
-77.335 -48.189
-76.561 -47.613
-75.946 -47.419
-75.839 -46.973
-75.706 -46.606
-75.57 -46.078
-75.548 -45.761
-75.608 -45.544
-75.713 -45.281
-75.782 -45.036
-75.877 -44.699
-75.754 -44.355
-75.658 -43.99
-75.591 -43.76
-75.467 -43.371
-75.436 -43.152
-75.387 -42.886
-75.347 -42.638
