1,Indeterminate,Indeterminate,Indeterminate
2,-34.7816,54.2862,0.238802
3,Indeterminate,Indeterminate,Indeterminate
4,Indeterminate,Indeterminate,Indeterminate
8,15.0124,-29.1031,0.0381833
9,13.396,94.0204,0.287988
10,0.887717,78.1283,0.0570181
11,20.2436,-92.3212,0.00971701
12,2.89599,60.0277,0.254384
28,-23.3662,8.15364,0.0427627
70,Indeterminate,Indeterminate,Indeterminate
101,-41.6836,-41.5712,0.227175
102,-41.6836,-41.5712,0.227175
103,-41.6836,-41.5712,0.227175
104,-41.6836,-41.5712,0.227175
105,-57.7826,55.731,0.811497
107,-41.6836,-41.5712,0.227175
108,-41.6836,-41.5712,0.227175
109,-41.6836,-41.5712,0.227175
110,-41.6836,-41.5712,0.227175
111,-41.6836,-41.5712,0.227175
112,-41.6836,-41.5712,0.227175
113,-41.6836,-41.5712,0.227175
114,-41.6836,-41.5712,0.227175
116,-41.6836,-41.5712,0.227175
117,-41.6836,-41.5712,0.227175
118,-41.6836,-41.5712,0.227175
120,-41.6836,-41.5712,0.227175
121,-41.6836,-41.5712,0.227175
122,-41.6836,-41.5712,0.227175
123,-41.6836,-41.5712,0.227175
124,-41.6836,-41.5712,0.227175
127,41.7873,-31.3599,0.103484
128,41.7873,-31.3599,0.103484
129,41.7873,-31.3599,0.103484
130,-41.6836,-41.5712,0.227175
131,-41.6836,-41.5712,0.227175
132,-41.6836,-41.5712,0.227175
133,-41.6836,-41.5712,0.227175
134,-41.6836,-41.5712,0.227175
135,-41.6836,-41.5712,0.227175
140,-41.6836,-41.5712,0.227175
141,-41.6836,-41.5712,0.227175
154,-41.6836,-41.5712,0.227175
155,-41.6836,-41.5712,0.227175
160,-41.6836,-41.5712,0.227175
173,-41.6836,-41.5712,0.227175
176,-41.6836,-41.5712,0.227175
178,-41.6836,-41.5712,0.227175
182,-41.6836,-41.5712,0.227175
183,-41.6836,-41.5712,0.227175
184,-41.6836,-41.5712,0.227175
185,-41.6836,-41.5712,0.227175
199,-41.6836,-41.5712,0.227175
201,-79.2281,17.8071,0.197523
202,-79.2281,17.8071,0.197523
204,-41.6836,-41.5712,0.227175
205,-41.6836,-41.5712,0.227175
208,-41.6836,-41.5712,0.227175
209,-41.6836,-41.5712,0.227175
210,-41.6836,-41.5712,0.227175
211,-41.6836,-41.5712,0.227175
212,-41.6836,-41.5712,0.227175
213,-41.6836,-41.5712,0.227175
215,-41.6836,-41.5712,0.227175
216,-41.6836,-41.5712,0.227175
222,-43.383,44.6984,0.147376
224,-33.4151,67.7844,0.161203
225,-13.0454,117.025,0.798118
226,-13.0454,117.025,0.798118
227,-13.0454,117.025,0.798118
228,-13.0454,117.025,0.798118
229,-8.33007,100.858,5.8513
230,-42.3364,74.2522,0.166464
231,-33.4151,67.7844,0.161203
233,-41.6836,-41.5712,0.227175
234,-33.4151,67.7844,0.161203
235,-33.4151,67.7844,0.161203
236,5.01962,-43.3917,0.345174
237,22.467,-38.2908,0.12792
252,-33.4151,67.7844,0.161203
253,-8.48673,-38.7607,0.11931
254,-8.48673,-38.7607,0.11931
255,-8.48673,-38.7607,0.11931
274,-41.6836,-41.5712,0.227175
275,-41.6836,-41.5712,0.227175
280,-79.2281,17.8071,0.197523
283,-79.2281,17.8071,0.197523
288,-79.2281,17.8071,0.197523
